player1,player2,score1,score2
cooperator,cooperator,300,300
cooperator,forgiver,300,300
cooperator,grumpy,300,300
cooperator,random,150.54,399.64
cooperator,backstabber,294,304
cooperator,foolMeOnce,300,300
forgiver,forgiver,300,300
forgiver,grumpy,300,300
forgiver,random,296.05,57.2
forgiver,backstabber,294,304
forgiver,foolMeOnce,300,300
grumpy,grumpy,300,300
grumpy,random,219.12,238.07
grumpy,backstabber,294,304
grumpy,foolMeOnce,300,300
random,random,224.27,225.22
random,backstabber,70.12,291.12
random,foolMeOnce,63.16,295.36
backstabber,backstabber,296,296
backstabber,foolMeOnce,304,294
foolMeOnce,foolMeOnce,300,300